instância,número de cidades,tempo de execução,custo da solução (GRASP),distância utilizada
att48,48,0.78,10653,ATT
berlin52,52,0.95,7718,EUC_2D
kroA100,100,8.56,21470,EUC_2D
kroA150,150,32.18,27335,EUC_2D
kroA200,200,92.01,29950,EUC_2D
kroB100,100,10.49,22503,EUC_2D
kroB150,150,38.87,26571,EUC_2D
kroB200,200,96.02,30371,EUC_2D
kroC100,100,9.66,21086,EUC_2D
kroD100,100,10.04,21704,EUC_2D
kroE100,100,9.48,22564,EUC_2D
lin105,105,12.21,14529,EUC_2D
pr107,107,11.83,45024,EUC_2D
pr124,124,18.38,59227,EUC_2D
pr136,136,26.09,98952,EUC_2D
pr144,144,30.64,59070,EUC_2D
pr152,152,29.75,74570,EUC_2D
pr76,76,3.59,109150,EUC_2D
rat195,195,83.71,2407,EUC_2D
rat99,99,8.63,1231,EUC_2D
st70,70,2.69,679,EUC_2D